"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"07.03.2023","18,9150","18,9225","18,9911","18,8556","44,85K","0,10%"
"06.03.2023","18,8955","18,9025","18,9293","18,8004","54,36K","0,35%"
"03.03.2023","18,8288","18,8947","18,9265","18,7870","62,76K","-0,33%"
"02.03.2023","18,8908","18,8880","18,9367","18,7979","44,65K","0,01%"
"01.03.2023","18,8884","18,8872","18,9009","18,8660","42,74K","0,01%"
"28.02.2023","18,8874","18,8890","18,9294","18,8655","52,13K","0,00%"
"27.02.2023","18,8866","18,8869","19,0081","18,7590","54,05K","0,07%"
"24.02.2023","18,8731","18,8854","18,9399","18,7854","44,66K","0,00%"
"23.02.2023","18,8735","18,8799","18,9601","18,7810","49,60K","-0,03%"
"22.02.2023","18,8799","18,8665","18,9413","18,7735","53,82K","0,04%"
"21.02.2023","18,8715","18,8834","18,9128","18,6897","","0,02%"
"20.02.2023","18,8670","18,8556","18,9133","18,8107","","-0,04%"
"20.02.2023","18,8748","18,8561","18,8946","18,6861","","0,24%"
"17.02.2023","18,8297","18,8481","18,8922","18,6800","","0,19%"
"16.02.2023","18,7934","18,8463","18,8917","18,7934","","-0,29%"
"16.02.2023","18,8483","18,8453","18,8843","18,6713","","0,05%"
"15.02.2023","18,8380","18,8529","18,9003","18,8289","","-0,07%"
"15.02.2023","18,8513","18,8499","18,9164","18,6654","","-0,02%"
"14.02.2023","18,8551","18,8287","18,9348","18,8013","","0,08%"
"14.02.2023","18,8396","18,8422","18,8669","18,6581","","0,09%"
"13.02.2023","18,8230","18,8195","18,8734","18,8053","","-0,09%"
"13.02.2023","18,8390","18,8207","18,8584","18,6372","","0,08%"
"10.02.2023","18,8241","18,8320","18,8693","18,6404","","0,06%"
"09.02.2023","18,8131","18,8199","18,8559","18,7931","","-0,08%"
"09.02.2023","18,8291","18,8331","18,8458","18,6572","","0,09%"
"08.02.2023","18,8129","18,8239","18,8469","18,7933","","-0,08%"
"08.02.2023","18,8285","18,8251","18,8604","18,6514","","0,12%"
"07.02.2023","18,8062","18,8147","18,8612","18,7837","","-0,09%"
"07.02.2023","18,8229","18,8279","18,8490","18,6383","","0,04%"